year,nh_land,nh_ocean,deep_nh,sh_land,sh_ocean,deep_sh,nh,sh
2074,2.465962201309296,2.0421812980227303,0.023980997573091335,2.4396121692767405,1.990627658220636,0.1618833426230603,2.2091509739176374,2.0759347153212957
2075,2.466896549205729,2.0440091860534886,0.03005967727735798,2.440555323401311,1.9924727663132014,0.16739167567178828,2.2106268071354713,2.077608452159942
2076,2.4678287976268423,2.045832969117545,0.03612555349795492,2.4414962833519693,1.9943135866750488,0.17288897386680674,2.2120993255502084,2.079278299043664
2077,2.4687589751062258,2.0476527026093545,0.042178652507473345,2.442435104326149,1.9961502264810675,0.1783752576852588,2.213568573973122,2.0809443532716334
2078,2.4696871056757974,2.0494684331952207,0.0482190006527198,2.443371832896234,1.9979827761683961,0.1838505478395723,2.215034590152568,2.0826066969466854
2079,2.4706132096935045,2.051280200418075,0.054246624330690794,2.4443065084539657,1.9998113122394172,0.18931486523067054,2.216497406072594,2.0842653995201816
2080,2.4715373045185562,2.0530880380066394,0.06026154996899476,2.445239164412757,2.0016358995949526,0.19476823090903855,2.217957049012335,2.0859205199103354
2081,2.4724594050622626,2.054891974943412,0.06626380400990284,2.4461698292084866,2.0034565934763777,0.20021066604233065,2.2194135424102392,2.0875721082654786
2082,2.4733795242374064,2.056692036335923,0.07225341289735897,2.447098527132546,2.005273441082229,0.20564219188842123,2.220866906569108,2.089220207431789
2083,2.47429767332483,2.0584882441274965,0.07823040306640565,2.4480252790252583,2.007086482913838,0.2110628297729891,2.2223171592312463,2.090864854175008
2084,2.4752138622725064,2.0602806176770816,0.0841948009345781,2.4489501028530833,2.008895753895446,0.2164726010708709,2.2237643160476788,2.0925060801973974
2085,2.4761280999394932,2.0620691742322617,0.09014663289490618,2.449873014189067,2.010701284306556,0.22187152719055678,2.225208390960911,2.0941439129842334
2086,2.477040394294979,2.06385392931515,0.09608592531022685,2.450794026612769,2.01250310055803,0.22725962956129858,2.2266493965172027,2.0957783765084304
2087,2.4779507525806435,2.0656348970371994,0.10201270450856566,2.4517131520431654,2.0143012258381052,0.2326369296223928,2.2280873441213167,2.097409491817067
2088,2.4788591814431213,2.067412090356014,0.10792699677939074,2.4526304010157394,2.016095680650124,0.23800344881427574,2.2295222442443343,2.099037277519591
